skin_concern,skin_type,home_remedy,chemical_product
Dark Spots (Hyperpigmentation),Normal,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Avobenzone	Benzoyl Peroxide	Salicylic Acid	Triclosan	Ferulic Acid"
Dark Spots (Hyperpigmentation),Normal,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Sodium PCA	Titanium Dioxide	Ceramides	Triclosan	Vitamin C"
Dark Spots (Hyperpigmentation),Normal,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Tartaric Acid	Triclosan	Carbomer	Niacinamide	Triethanolamine"
Dark Spots (Hyperpigmentation),Normal,"	Papaya	Banana	Milk	Honey	Oatmeal","	Licorice Extract	Glycolic Acid	Salicylic Acid	Niacinamide	Zinc Oxide"
Dark Spots (Hyperpigmentation),Normal,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Titanium Dioxide	Gluconolactone	Octinoxate	Salicylic Acid	Butylene Glycol"
Dark Spots (Hyperpigmentation),Normal,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Kojic Acid	Glycerin	Sodium Hydroxide	Squalane	Carbomer"
Dark Spots (Hyperpigmentation),Normal,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Allantoin	Titanium Dioxide	BHA (Beta Hydroxy Acid)	Triethanolamine	Ferulic Acid"
Dark Spots (Hyperpigmentation),Sensitive,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Hyaluronic Acid	Dimethyl Sulfone	Alpha Arbutin	Squalane	Licorice Extract"
Dark Spots (Hyperpigmentation),Sensitive,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Cyclopentasiloxane	Ferulic Acid	Peptides	Zinc Oxide	Dimethyl Sulfone"
Dark Spots (Hyperpigmentation),Sensitive,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Cyclopentasiloxane	Vitamin C	Niacinamide	Citric Acid	Hydroquinone"
Dark Spots (Hyperpigmentation),Sensitive,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Hydroquinone	Octinoxate	Panthenol	Glycolic Acid	Caprylic Acid"
Dark Spots (Hyperpigmentation),Sensitive,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	AHA (Alpha Hydroxy Acid)	Carbomer	Benzoyl Peroxide	Citric Acid	Niacinamide"
Dark Spots (Hyperpigmentation),Sensitive,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Butylene Glycol	Resveratrol	Avobenzone	Oxybenzone	Tocopherol"
Dark Spots (Hyperpigmentation),Sensitive,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	BHT (Butylated Hydroxytoluene)	Kojic Acid	Glycerin	Retinol	Glycolic Acid"
Dark Spots (Hyperpigmentation),Combinational,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Benzoic Acid	Titanium Dioxide	Disodium EDTA	Resveratrol	Niacinamide"
Dark Spots (Hyperpigmentation),Combinational,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Titanium Dioxide	Vitamin C	Citric Acid	Ferulic Acid	AHA (Alpha Hydroxy Acid)"
Dark Spots (Hyperpigmentation),Combinational,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Avobenzone	Tocopherol	Alpha Arbutin	Hydroquinone	Zinc Oxide"
Dark Spots (Hyperpigmentation),Combinational,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Benzoic Acid	Ferulic Acid	Squalane	Tartaric Acid	Sodium Hydroxide"
Dark Spots (Hyperpigmentation),Combinational,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Retinol	Octinoxate	Avobenzone	Alpha Arbutin	Carbomer"
Dark Spots (Hyperpigmentation),Combinational,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Caprylic Acid	Sodium PCA	Alpha Arbutin	AHA (Alpha Hydroxy Acid)	Citric Acid"
Dark Spots (Hyperpigmentation),Combinational,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Ferulic Acid	Avobenzone	Squalane	Butylene Glycol	Titanium Dioxide"
Dark Spots (Hyperpigmentation),Dry,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Tartaric Acid	Dimethicone	Disodium EDTA	Lactic Acid	Titanium Dioxide"
Dark Spots (Hyperpigmentation),Dry,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Glycolic Acid	Dimethicone	Caffeine	Ferulic Acid	Retinol"
Dark Spots (Hyperpigmentation),Dry,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Zinc Oxide	BHT (Butylated Hydroxytoluene)	Glycerin	Dimethicone	Sodium Hydroxide"
Dark Spots (Hyperpigmentation),Dry,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Ethylhexylglycerin	Caffeine	Sodium Hydroxide	AHA (Alpha Hydroxy Acid)	Peptides"
Dark Spots (Hyperpigmentation),Dry,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Panthenol	Ceramides	Sodium PCA	Triclosan	Butylene Glycol"
Dark Spots (Hyperpigmentation),Dry,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Carbomer	Panthenol	Triclosan	Triethanolamine	Licorice Extract"
Dark Spots (Hyperpigmentation),Dry,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Triethanolamine	Caffeine	Tocopherol	Titanium Dioxide	Ceramides"
Dark Spots (Hyperpigmentation),Oily,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Gluconolactone	Ethylhexylglycerin	Niacinamide	Dimethyl Sulfone	Lactic Acid"
Dark Spots (Hyperpigmentation),Oily,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Benzoyl Peroxide	Peptides	Avobenzone	Alpha Arbutin	Tartaric Acid"
Dark Spots (Hyperpigmentation),Oily,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Licorice Extract	Octinoxate	Retinol	Citric Acid	AHA (Alpha Hydroxy Acid)"
Dark Spots (Hyperpigmentation),Oily,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Phenoxyethanol	Panthenol	Butylene Glycol	Hyaluronic Acid	Tartaric Acid"
Dark Spots (Hyperpigmentation),Oily,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Caprylic Acid	Benzoyl Peroxide	Tartaric Acid	Carbomer	Dimethyl Sulfone"
Dark Spots (Hyperpigmentation),Oily,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Ferulic Acid	Disodium EDTA	Sodium Hydroxide	Cyclopentasiloxane	Benzoyl Peroxide"
Dark Spots (Hyperpigmentation),Oily,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Resveratrol	Licorice Extract	Alpha Arbutin	AHA (Alpha Hydroxy Acid)	Hyaluronic Acid"
Melasma,Normal,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Caprylic Acid	Panthenol	Gluconolactone	Dimethyl Sulfone	Azelaic Acid"
Melasma,Normal,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Gluconolactone	Vitamin C	Avobenzone	Urea	Octinoxate"
Melasma,Normal,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Kojic Acid	Peptides	Tocopherol	Dimethyl Sulfone	Alpha Arbutin"
Melasma,Normal,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Carbomer	Disodium EDTA	Phenoxyethanol	Hyaluronic Acid	Octinoxate"
Melasma,Normal,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Dimethicone	Ethylhexylglycerin	Salicylic Acid	Benzoyl Peroxide	Tocopherol"
Melasma,Normal,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Urea	Sodium PCA	Lactic Acid	BHT (Butylated Hydroxytoluene)	Niacinamide"
Melasma,Normal,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Niacinamide	Caprylic Acid	Ethylhexylglycerin	Retinol	Dimethyl Sulfone"
Melasma,Sensitive,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Carbomer	Disodium EDTA	Ceramides	Benzoic Acid	Propylene Glycol"
Melasma,Sensitive,"	Papaya	Banana	Milk	Honey	Oatmeal","	Butylene Glycol	Alpha Arbutin	Panthenol	Phenoxyethanol	Octinoxate"
Melasma,Sensitive,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Licorice Extract	Zinc Oxide	Carbomer	Dimethyl Sulfone	Caprylic Acid"
Melasma,Sensitive,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Squalane	Kojic Acid	Glycerin	Urea	Caffeine"
Melasma,Sensitive,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Benzoic Acid	Sodium Hydroxide	Tocopherol	BHA (Beta Hydroxy Acid)	Phenoxyethanol"
Melasma,Sensitive,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	BHA (Beta Hydroxy Acid)	Benzoyl Peroxide	Sodium PCA	Titanium Dioxide	Retinol"
Melasma,Sensitive,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Cyclopentasiloxane	Salicylic Acid	Triethanolamine	Butylene Glycol	Titanium Dioxide"
Melasma,Combinational,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Triethanolamine	Titanium Dioxide	Hyaluronic Acid	Retinol	Glycerin"
Melasma,Combinational,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Avobenzone	Lactic Acid	Titanium Dioxide	Retinol	Glycolic Acid"
Melasma,Combinational,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Cyclopentasiloxane	Retinol	Gluconolactone	Sodium PCA	Ferulic Acid"
Melasma,Combinational,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Benzoic Acid	Ethylhexylglycerin	Zinc Oxide	Carbomer	Ceramides"
Melasma,Combinational,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Caprylic Acid	BHT (Butylated Hydroxytoluene)	Propylene Glycol	Sodium PCA	Allantoin"
Melasma,Combinational,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Kojic Acid	Vitamin C	Benzoic Acid	Licorice Extract	Hydroquinone"
Melasma,Combinational,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Licorice Extract	Allantoin	AHA (Alpha Hydroxy Acid)	Caprylic Acid	Lactic Acid"
Melasma,Dry,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Tartaric Acid	Sodium Hydroxide	Vitamin C	Lactic Acid	Caffeine"
Melasma,Dry,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Caprylic Acid	Cyclopentasiloxane	Vitamin C	Sodium PCA	Kojic Acid"
Melasma,Dry,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Kojic Acid	Carbomer	BHA (Beta Hydroxy Acid)	Ceramides	Licorice Extract"
Melasma,Dry,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Azelaic Acid	Ferulic Acid	AHA (Alpha Hydroxy Acid)	Sodium PCA	Retinol"
Melasma,Dry,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	BHA (Beta Hydroxy Acid)	Butylene Glycol	Vitamin C	Lactic Acid	Sodium Hydroxide"
Melasma,Dry,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Carbomer	Hyaluronic Acid	Niacinamide	Dimethyl Sulfone	Sodium PCA"
Melasma,Dry,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Alpha Arbutin	Allantoin	Ethylhexylglycerin	Propylene Glycol	Zinc Oxide"
Melasma,Oily,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Caffeine	Lactic Acid	Alpha Arbutin	Citric Acid	Hyaluronic Acid"
Melasma,Oily,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Citric Acid	Panthenol	AHA (Alpha Hydroxy Acid)	Resveratrol	Licorice Extract"
Melasma,Oily,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Squalane	Caprylic Acid	Butylene Glycol	Benzoic Acid	Glycerin"
Melasma,Oily,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Ethylhexylglycerin	Peptides	Kojic Acid	Resveratrol	Zinc Oxide"
Melasma,Oily,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Lactic Acid	Triethanolamine	Triclosan	Carbomer	Dimethicone"
Melasma,Oily,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Lactic Acid	Triethanolamine	Propylene Glycol	Gluconolactone	Phenoxyethanol"
Melasma,Oily,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Alpha Arbutin	Lactic Acid	Gluconolactone	Niacinamide	Azelaic Acid"
Uneven Skin Tone,Normal,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Retinol	Octinoxate	Tartaric Acid	Sodium PCA	Caffeine"
Uneven Skin Tone,Normal,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Benzoyl Peroxide	BHT (Butylated Hydroxytoluene)	Sodium PCA	Triethanolamine	Octinoxate"
Uneven Skin Tone,Normal,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Glycolic Acid	Oxybenzone	Niacinamide	Allantoin	Benzoic Acid"
Uneven Skin Tone,Normal,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Triethanolamine	BHT (Butylated Hydroxytoluene)	Phenoxyethanol	Dimethicone	Panthenol"
Uneven Skin Tone,Normal,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Zinc Oxide	Benzoic Acid	Glycerin	Dimethicone	Sodium PCA"
Uneven Skin Tone,Normal,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Panthenol	Caffeine	Ceramides	Benzoic Acid	Sodium Hydroxide"
Uneven Skin Tone,Normal,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Urea	AHA (Alpha Hydroxy Acid)	Dimethicone	Dimethyl Sulfone	Retinol"
Uneven Skin Tone,Sensitive,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Hyaluronic Acid	AHA (Alpha Hydroxy Acid)	Oxybenzone	BHT (Butylated Hydroxytoluene)	Vitamin C"
Uneven Skin Tone,Sensitive,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Retinol	Carbomer	Zinc Oxide	Gluconolactone	Panthenol"
Uneven Skin Tone,Sensitive,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Ceramides	Hydroquinone	Retinol	Sodium PCA	Tocopherol"
Uneven Skin Tone,Sensitive,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Resveratrol	Alpha Arbutin	BHA (Beta Hydroxy Acid)	Carbomer	Glycerin"
Uneven Skin Tone,Sensitive,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Urea	Oxybenzone	Sodium Hydroxide	Phenoxyethanol	Hyaluronic Acid"
Uneven Skin Tone,Sensitive,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Benzoic Acid	Butylene Glycol	Urea	Vitamin C	Ceramides"
Uneven Skin Tone,Sensitive,"	Papaya	Banana	Milk	Honey	Oatmeal","	Panthenol	Benzoyl Peroxide	Vitamin C	Triclosan	Butylene Glycol"
Uneven Skin Tone,Combinational,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Peptides	Ferulic Acid	Resveratrol	Octinoxate	Zinc Oxide"
Uneven Skin Tone,Combinational,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Glycerin	Cyclopentasiloxane	Zinc Oxide	Tartaric Acid	Avobenzone"
Uneven Skin Tone,Combinational,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Panthenol	Gluconolactone	Ethylhexylglycerin	Lactic Acid	Niacinamide"
Uneven Skin Tone,Combinational,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Avobenzone	Licorice Extract	Ferulic Acid	Glycolic Acid	Hyaluronic Acid"
Uneven Skin Tone,Combinational,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Cyclopentasiloxane	Disodium EDTA	Ceramides	Avobenzone	Panthenol"
Uneven Skin Tone,Combinational,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Alpha Arbutin	Triclosan	BHA (Beta Hydroxy Acid)	Butylene Glycol	Glycerin"
Uneven Skin Tone,Combinational,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Licorice Extract	Butylene Glycol	Hyaluronic Acid	Benzoyl Peroxide	Retinol"
Uneven Skin Tone,Dry,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Squalane	Peptides	Carbomer	Glycolic Acid	Tocopherol"
Uneven Skin Tone,Dry,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Triethanolamine	Butylene Glycol	Peptides	Licorice Extract	Ceramides"
Uneven Skin Tone,Dry,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Glycolic Acid	Urea	Tocopherol	Hydroquinone	Zinc Oxide"
Uneven Skin Tone,Dry,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Tartaric Acid	Sodium PCA	Benzoic Acid	Vitamin C	Hydroquinone"
Uneven Skin Tone,Dry,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Disodium EDTA	Butylene Glycol	Allantoin	Oxybenzone	Triclosan"
Uneven Skin Tone,Dry,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Peptides	Sodium PCA	Alpha Arbutin	Azelaic Acid	Allantoin"
Uneven Skin Tone,Dry,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Salicylic Acid	Azelaic Acid	Triclosan	Cyclopentasiloxane	Allantoin"
Uneven Skin Tone,Oily,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Benzoic Acid	Triclosan	Sodium PCA	Ferulic Acid	Alpha Arbutin"
Uneven Skin Tone,Oily,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Squalane	Vitamin C	Citric Acid	Glycolic Acid	Propylene Glycol"
Uneven Skin Tone,Oily,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Titanium Dioxide	Kojic Acid	AHA (Alpha Hydroxy Acid)	Hydroquinone	Urea"
Uneven Skin Tone,Oily,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Titanium Dioxide	Salicylic Acid	Benzoic Acid	Kojic Acid	Caffeine"
Uneven Skin Tone,Oily,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Cyclopentasiloxane	Ferulic Acid	Retinol	Disodium EDTA	Hydroquinone"
Uneven Skin Tone,Oily,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Sodium Hydroxide	Gluconolactone	Caffeine	Tartaric Acid	Carbomer"
Uneven Skin Tone,Oily,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Cyclopentasiloxane	Salicylic Acid	Benzoyl Peroxide	Panthenol	Azelaic Acid"
Large Pores,Normal,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Triethanolamine	Panthenol	Glycolic Acid	Vitamin C	Octinoxate"
Large Pores,Normal,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Licorice Extract	Hydroquinone	Caprylic Acid	Dimethicone	Octinoxate"
Large Pores,Normal,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Gluconolactone	Benzoyl Peroxide	Citric Acid	BHT (Butylated Hydroxytoluene)	Kojic Acid"
Large Pores,Normal,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Panthenol	Glycolic Acid	Glycerin	Licorice Extract	Hyaluronic Acid"
Large Pores,Normal,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Phenoxyethanol	Carbomer	Tartaric Acid	Caprylic Acid	Triclosan"
Large Pores,Normal,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Triclosan	Benzoic Acid	Kojic Acid	Tocopherol	Licorice Extract"
Large Pores,Normal,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Retinol	Benzoic Acid	Cyclopentasiloxane	Oxybenzone	Dimethicone"
Large Pores,Sensitive,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Benzoic Acid	Benzoyl Peroxide	Caprylic Acid	Urea	Gluconolactone"
Large Pores,Sensitive,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Urea	Benzoic Acid	Allantoin	Dimethicone	Caffeine"
Large Pores,Sensitive,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Squalane	Resveratrol	Butylene Glycol	Ceramides	Kojic Acid"
Large Pores,Sensitive,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Allantoin	Benzoic Acid	Citric Acid	Tartaric Acid	Triclosan"
Large Pores,Sensitive,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Azelaic Acid	Oxybenzone	BHT (Butylated Hydroxytoluene)	Urea	Caffeine"
Large Pores,Sensitive,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Butylene Glycol	Hyaluronic Acid	Urea	Resveratrol	Zinc Oxide"
Large Pores,Sensitive,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Licorice Extract	Triethanolamine	Octinoxate	Sodium Hydroxide	Dimethicone"
Large Pores,Combinational,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	AHA (Alpha Hydroxy Acid)	BHA (Beta Hydroxy Acid)	Tartaric Acid	Zinc Oxide	Gluconolactone"
Large Pores,Combinational,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Propylene Glycol	Triclosan	Alpha Arbutin	Benzoic Acid	Niacinamide"
Large Pores,Combinational,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Resveratrol	Gluconolactone	Benzoic Acid	Avobenzone	Oxybenzone"
Large Pores,Combinational,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Cyclopentasiloxane	Niacinamide	Dimethyl Sulfone	Sodium PCA	Tartaric Acid"
Large Pores,Combinational,"	Papaya	Banana	Milk	Honey	Oatmeal","	Urea	Titanium Dioxide	Kojic Acid	Peptides	Salicylic Acid"
Large Pores,Combinational,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Glycolic Acid	Sodium PCA	Propylene Glycol	Oxybenzone	Disodium EDTA"
Large Pores,Combinational,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Retinol	AHA (Alpha Hydroxy Acid)	Allantoin	Avobenzone	BHT (Butylated Hydroxytoluene)"
Large Pores,Dry,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Kojic Acid	Glycerin	Squalane	Citric Acid	Ethylhexylglycerin"
Large Pores,Dry,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Caffeine	Sodium PCA	Peptides	Sodium Hydroxide	Squalane"
