skin_concern,skin_type,home_remedy,chemical_product
Large Pores,Dry,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Hyaluronic Acid	Dimethyl Sulfone	Disodium EDTA	Vitamin C	Licorice Extract"
Large Pores,Dry,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Titanium Dioxide	Azelaic Acid	Squalane	Phenoxyethanol	AHA (Alpha Hydroxy Acid)"
Large Pores,Dry,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Lactic Acid	Butylene Glycol	Sodium PCA	Benzoyl Peroxide	AHA (Alpha Hydroxy Acid)"
Large Pores,Dry,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Ceramides	AHA (Alpha Hydroxy Acid)	Benzoic Acid	Phenoxyethanol	Butylene Glycol"
Large Pores,Dry,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Octinoxate	Dimethicone	Dimethyl Sulfone	BHA (Beta Hydroxy Acid)	Oxybenzone"
Large Pores,Oily,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Caprylic Acid	Gluconolactone	Licorice Extract	Butylene Glycol	BHA (Beta Hydroxy Acid)"
Large Pores,Oily,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Alpha Arbutin	Triclosan	Propylene Glycol	BHA (Beta Hydroxy Acid)	Panthenol"
Large Pores,Oily,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Dimethyl Sulfone	Sodium PCA	Avobenzone	Ferulic Acid	Disodium EDTA"
Large Pores,Oily,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Disodium EDTA	Phenoxyethanol	Ethylhexylglycerin	Avobenzone	Sodium PCA"
Large Pores,Oily,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Ferulic Acid	BHA (Beta Hydroxy Acid)	Retinol	Glycerin	Resveratrol"
Large Pores,Oily,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Sodium PCA	Ferulic Acid	Cyclopentasiloxane	Dimethicone	Carbomer"
Large Pores,Oily,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Niacinamide	Ceramides	Peptides	Titanium Dioxide	Citric Acid"
Rough Texture,Normal,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Squalane	Peptides	Glycerin	Zinc Oxide	Retinol"
Rough Texture,Normal,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Allantoin	Cyclopentasiloxane	Carbomer	AHA (Alpha Hydroxy Acid)	Lactic Acid"
Rough Texture,Normal,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Zinc Oxide	Allantoin	Citric Acid	Disodium EDTA	Triethanolamine"
Rough Texture,Normal,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Squalane	Salicylic Acid	Dimethyl Sulfone	BHT (Butylated Hydroxytoluene)	Citric Acid"
Rough Texture,Normal,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Propylene Glycol	Hyaluronic Acid	Hydroquinone	Urea	Dimethyl Sulfone"
Rough Texture,Normal,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Citric Acid	Allantoin	Carbomer	Triclosan	Octinoxate"
Rough Texture,Normal,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Titanium Dioxide	Ethylhexylglycerin	Ferulic Acid	Licorice Extract	Salicylic Acid"
Rough Texture,Sensitive,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Citric Acid	Cyclopentasiloxane	Benzoic Acid	Tartaric Acid	Caffeine"
Rough Texture,Sensitive,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Caprylic Acid	Alpha Arbutin	AHA (Alpha Hydroxy Acid)	Ceramides	Oxybenzone"
Rough Texture,Sensitive,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Carbomer	Salicylic Acid	Caffeine	Triethanolamine	BHT (Butylated Hydroxytoluene)"
Rough Texture,Sensitive,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Benzoic Acid	Salicylic Acid	Niacinamide	Sodium Hydroxide	Licorice Extract"
Rough Texture,Sensitive,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Ceramides	AHA (Alpha Hydroxy Acid)	Azelaic Acid	Lactic Acid	Panthenol"
Rough Texture,Sensitive,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Citric Acid	Dimethicone	Zinc Oxide	AHA (Alpha Hydroxy Acid)	Cyclopentasiloxane"
Rough Texture,Sensitive,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Dimethyl Sulfone	Citric Acid	Ferulic Acid	Allantoin	Panthenol"
Rough Texture,Combinational,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Niacinamide	Propylene Glycol	Salicylic Acid	Triclosan	Carbomer"
Rough Texture,Combinational,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Lactic Acid	Hydroquinone	Titanium Dioxide	Sodium Hydroxide	Retinol"
Rough Texture,Combinational,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Disodium EDTA	Sodium Hydroxide	Glycolic Acid	Dimethyl Sulfone	Salicylic Acid"
Rough Texture,Combinational,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Sodium PCA	Kojic Acid	Salicylic Acid	Oxybenzone	Peptides"
Rough Texture,Combinational,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Sodium PCA	Ceramides	Propylene Glycol	Benzoic Acid	Benzoyl Peroxide"
Rough Texture,Combinational,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	BHT (Butylated Hydroxytoluene)	Zinc Oxide	AHA (Alpha Hydroxy Acid)	Squalane	Panthenol"
Rough Texture,Combinational,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Disodium EDTA	Tocopherol	Alpha Arbutin	Octinoxate	Triclosan"
Rough Texture,Dry,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Glycerin	Benzoyl Peroxide	Disodium EDTA	Alpha Arbutin	Urea"
Rough Texture,Dry,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Vitamin C	Triethanolamine	Salicylic Acid	Urea	BHT (Butylated Hydroxytoluene)"
Rough Texture,Dry,"	Papaya	Banana	Milk	Honey	Oatmeal","	Tartaric Acid	Citric Acid	Caffeine	Glycerin	Kojic Acid"
Rough Texture,Dry,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Retinol	Triethanolamine	Squalane	Avobenzone	Sodium PCA"
Rough Texture,Dry,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Vitamin C	Squalane	Disodium EDTA	Urea	Tartaric Acid"
Rough Texture,Dry,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Octinoxate	Benzoyl Peroxide	BHT (Butylated Hydroxytoluene)	Glycolic Acid	Hydroquinone"
Rough Texture,Dry,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Carbomer	Licorice Extract	Benzoic Acid	Tocopherol	Retinol"
Rough Texture,Oily,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Gluconolactone	Sodium Hydroxide	Cyclopentasiloxane	Hyaluronic Acid	Allantoin"
Rough Texture,Oily,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Ethylhexylglycerin	Vitamin C	Licorice Extract	Tocopherol	Avobenzone"
Rough Texture,Oily,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	AHA (Alpha Hydroxy Acid)	Glycerin	Peptides	Licorice Extract	Azelaic Acid"
Rough Texture,Oily,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Caprylic Acid	Phenoxyethanol	Sodium Hydroxide	Ferulic Acid	Oxybenzone"
Rough Texture,Oily,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Carbomer	Disodium EDTA	Propylene Glycol	AHA (Alpha Hydroxy Acid)	Licorice Extract"
Rough Texture,Oily,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Caprylic Acid	Triethanolamine	Ferulic Acid	Dimethicone	Sodium PCA"
Rough Texture,Oily,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Niacinamide	Ferulic Acid	BHA (Beta Hydroxy Acid)	Sodium PCA	Dimethyl Sulfone"
Bumpy Skin,Normal,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	AHA (Alpha Hydroxy Acid)	BHT (Butylated Hydroxytoluene)	Oxybenzone	Benzoic Acid	Citric Acid"
Bumpy Skin,Normal,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Cyclopentasiloxane	Salicylic Acid	Ethylhexylglycerin	Dimethicone	Azelaic Acid"
Bumpy Skin,Normal,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Ethylhexylglycerin	Zinc Oxide	Hydroquinone	Panthenol	Cyclopentasiloxane"
Bumpy Skin,Normal,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Ferulic Acid	Octinoxate	Squalane	Butylene Glycol	Hyaluronic Acid"
Bumpy Skin,Normal,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	Phenoxyethanol	Kojic Acid	Niacinamide	Sodium PCA	Caprylic Acid"
Bumpy Skin,Normal,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Allantoin	Ethylhexylglycerin	Butylene Glycol	Dimethyl Sulfone	Sodium PCA"
Bumpy Skin,Normal,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Squalane	Propylene Glycol	Sodium Hydroxide	Glycerin	Ethylhexylglycerin"
Bumpy Skin,Sensitive,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	BHA (Beta Hydroxy Acid)	Salicylic Acid	Niacinamide	Resveratrol	Titanium Dioxide"
Bumpy Skin,Sensitive,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Caffeine	Squalane	Sodium PCA	Urea	Benzoic Acid"
Bumpy Skin,Sensitive,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Triethanolamine	Tocopherol	Propylene Glycol	Butylene Glycol	Phenoxyethanol"
Bumpy Skin,Sensitive,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Hydroquinone	Licorice Extract	Triclosan	Butylene Glycol	Cyclopentasiloxane"
Bumpy Skin,Sensitive,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Hydroquinone	Squalane	AHA (Alpha Hydroxy Acid)	Ferulic Acid	Urea"
Bumpy Skin,Sensitive,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Panthenol	Titanium Dioxide	Benzoyl Peroxide	Caprylic Acid	Kojic Acid"
Bumpy Skin,Sensitive,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Dimethicone	Benzoyl Peroxide	Triclosan	Carbomer	Dimethyl Sulfone"
Bumpy Skin,Combinational,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	Squalane	Azelaic Acid	Kojic Acid	Zinc Oxide	Triclosan"
Bumpy Skin,Combinational,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Propylene Glycol	Ferulic Acid	Caprylic Acid	Triethanolamine	Dimethyl Sulfone"
Bumpy Skin,Combinational,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	Phenoxyethanol	Octinoxate	Resveratrol	Vitamin C	Kojic Acid"
Bumpy Skin,Combinational,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Resveratrol	Titanium Dioxide	Tocopherol	Azelaic Acid	Urea"
Bumpy Skin,Combinational,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Hyaluronic Acid	Glycerin	Carbomer	Ceramides	Ferulic Acid"
Bumpy Skin,Combinational,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Glycolic Acid	Lactic Acid	Butylene Glycol	Resveratrol	Squalane"
Bumpy Skin,Combinational,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Ceramides	Avobenzone	Dimethyl Sulfone	Ethylhexylglycerin	Vitamin C"
Bumpy Skin,Dry,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Hyaluronic Acid	BHT (Butylated Hydroxytoluene)	Resveratrol	Propylene Glycol	BHA (Beta Hydroxy Acid)"
Bumpy Skin,Dry,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Cyclopentasiloxane	Azelaic Acid	Lactic Acid	Panthenol	Propylene Glycol"
Bumpy Skin,Dry,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Benzoyl Peroxide	Retinol	Caffeine	Ethylhexylglycerin	BHT (Butylated Hydroxytoluene)"
Bumpy Skin,Dry,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Avobenzone	Tartaric Acid	Lactic Acid	Peptides	BHT (Butylated Hydroxytoluene)"
Bumpy Skin,Dry,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Urea	Niacinamide	Sodium PCA	Benzoyl Peroxide	Butylene Glycol"
Bumpy Skin,Dry,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Dimethyl Sulfone	Allantoin	Octinoxate	Oxybenzone	Titanium Dioxide"
Bumpy Skin,Dry,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Disodium EDTA	Phenoxyethanol	Citric Acid	BHA (Beta Hydroxy Acid)	Urea"
Bumpy Skin,Oily,"	Papaya	Banana	Milk	Honey	Oatmeal","	Triethanolamine	Licorice Extract	Urea	BHT (Butylated Hydroxytoluene)	Oxybenzone"
Bumpy Skin,Oily,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Lactic Acid	Oxybenzone	Triclosan	Vitamin C	Dimethyl Sulfone"
Bumpy Skin,Oily,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	Zinc Oxide	Avobenzone	Panthenol	Benzoic Acid	Niacinamide"
Bumpy Skin,Oily,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	Alpha Arbutin	Sodium PCA	Azelaic Acid	Butylene Glycol	Retinol"
Bumpy Skin,Oily,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Alpha Arbutin	Hyaluronic Acid	Allantoin	BHA (Beta Hydroxy Acid)	Squalane"
Bumpy Skin,Oily,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Octinoxate	Propylene Glycol	Resveratrol	Glycolic Acid	Titanium Dioxide"
Bumpy Skin,Oily,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Resveratrol	Glycerin	Squalane	AHA (Alpha Hydroxy Acid)	Retinol"
Dullness,Normal,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Tartaric Acid	Titanium Dioxide	Panthenol	Avobenzone	Triethanolamine"
Dullness,Normal,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Benzoic Acid	Kojic Acid	Licorice Extract	Benzoyl Peroxide	Carbomer"
Dullness,Normal,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Titanium Dioxide	Sodium Hydroxide	Peptides	Ferulic Acid	Retinol"
Dullness,Normal,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Lactic Acid	Alpha Arbutin	Urea	Octinoxate	Triclosan"
Dullness,Normal,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	BHT (Butylated Hydroxytoluene)	Resveratrol	BHA (Beta Hydroxy Acid)	Benzoyl Peroxide	AHA (Alpha Hydroxy Acid)"
Dullness,Normal,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Squalane	Urea	Caffeine	Ferulic Acid	Gluconolactone"
Dullness,Normal,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Carbomer	Ethylhexylglycerin	BHA (Beta Hydroxy Acid)	Niacinamide	Octinoxate"
Dullness,Sensitive,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Glycolic Acid	Licorice Extract	Triclosan	Dimethicone	Octinoxate"
Dullness,Sensitive,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Panthenol	Salicylic Acid	Niacinamide	Titanium Dioxide	Tartaric Acid"
Dullness,Sensitive,"	Pineapple Pulp	Milk	Rice Flour	Honey	Lemon Juice","	BHT (Butylated Hydroxytoluene)	Triethanolamine	Salicylic Acid	Dimethyl Sulfone	Tartaric Acid"
Dullness,Sensitive,"	Spinach Puree	Milk Cream	Honey	Cucumber Juice	Yogurt","	Ferulic Acid	BHT (Butylated Hydroxytoluene)	Glycolic Acid	Dimethyl Sulfone	Azelaic Acid"
Dullness,Sensitive,"	Neem Powder	Honey	Turmeric	Milk	Lemon Juice","	Propylene Glycol	Phenoxyethanol	Sodium Hydroxide	BHA (Beta Hydroxy Acid)	Ferulic Acid"
Dullness,Sensitive,"	Egg White	Honey	Lemon Juice	Oatmeal	Aloe Vera Gel","	Azelaic Acid	Triethanolamine	Licorice Extract	Avobenzone	Ethylhexylglycerin"
Dullness,Sensitive,"	Kiwi Pulp	Yogurt	Rice Flour	Honey	Rose Water","	Niacinamide	Propylene Glycol	Hydroquinone	Allantoin	Cyclopentasiloxane"
Dullness,Combinational,"	Apple Pulp	Milk	Honey	Oatmeal	Lemon Juice","	Dimethicone	Benzoic Acid	Vitamin C	Alpha Arbutin	Cyclopentasiloxane"
Dullness,Combinational,"	Gram Flour	Orange Juice	Turmeric	Yogurt	Honey","	Allantoin	Squalane	Ethylhexylglycerin	Resveratrol	Benzoic Acid"
Dullness,Combinational,"	Mango Pulp	Milk Cream	Honey	Rice Flour	Lemon Juice","	Caffeine	Dimethyl Sulfone	Butylene Glycol	Glycolic Acid	AHA (Alpha Hydroxy Acid)"
Dullness,Combinational,"	Pomegranate Juice	Honey	Aloe Vera Gel	Milk Cream	Oat Powder","	Niacinamide	Dimethicone	Panthenol	Benzoyl Peroxide	Disodium EDTA"
Dullness,Combinational,"	Watermelon Pulp	Honey	Curd	Rice Flour	Lemon Juice","	Caffeine	Gluconolactone	Hyaluronic Acid	Benzoic Acid	Carbomer"
Dullness,Combinational,"	Beetroot Juice	Gram Flour	Turmeric	Yogurt	Honey","	AHA (Alpha Hydroxy Acid)	Allantoin	Lactic Acid	Kojic Acid	Phenoxyethanol"
Dullness,Combinational,"	Rose Petal Powder	Yogurt	Honey	Lemon Juice	Aloe Vera","	Tocopherol	Oxybenzone	Dimethyl Sulfone	Ethylhexylglycerin	Avobenzone"
Dullness,Dry,"	Pear Pulp	Oat Flour	Milk	Honey	Rose Water","	BHA (Beta Hydroxy Acid)	Dimethyl Sulfone	Lactic Acid	Zinc Oxide	Ferulic Acid"
Dullness,Dry,"	Carrot Juice	Turmeric	Milk Cream	Honey	Oatmeal","	Butylene Glycol	Ceramides	Resveratrol	BHA (Beta Hydroxy Acid)	Squalane"
Dullness,Dry,"	Papaya Pulp	Lemon Juice	Milk	Rice Flour	Honey","	Ethylhexylglycerin	Benzoyl Peroxide	Salicylic Acid	Avobenzone	Octinoxate"
Dullness,Dry,"	Tomato Juice	Honey	Multani Mitti	Rose Water	Curd","	Sodium PCA	Glycerin	Alpha Arbutin	Urea	Butylene Glycol"
Dullness,Dry,"	Cucumber Juice	Honey	Aloe Vera	Turmeric	Mint Paste","	Hyaluronic Acid	Butylene Glycol	Allantoin	Niacinamide	Titanium Dioxide"
Dullness,Dry,"	Potato Paste	Curd	Honey	Milk Powder	Lemon Juice","	Benzoyl Peroxide	AHA (Alpha Hydroxy Acid)	Sodium Hydroxide	Peptides	Ethylhexylglycerin"
Dullness,Dry,"	Pumpkin Juice	Yogurt	Rice Flour	Honey	Rose Water","	Glycerin	Resveratrol	Gluconolactone	Ferulic Acid	Allantoin"
Dullness,Oily,"	Coconut Milk	Turmeric	Honey	Rose Petal Powder	Curd","	Propylene Glycol	Sodium PCA	AHA (Alpha Hydroxy Acid)	Butylene Glycol	Peptides"
Dullness,Oily,"	Papaya Juice	Multani Mitti	Milk	Turmeric	Honey","	Citric Acid	Kojic Acid	Octinoxate	Gluconolactone	Triclosan"
Dullness,Oily,"	Honey	Turmeric	Milk	Rose Water	Lemon Juice","	Ceramides	Retinol	Ferulic Acid	Disodium EDTA	Allantoin"
Dullness,Oily,"	Aloe Vera Gel	Cucumber	Yogurt	Lemon Juice	Mint Leaves","	Cyclopentasiloxane	Gluconolactone	Ferulic Acid	Hyaluronic Acid	Resveratrol"
Dullness,Oily,"	Gram Flour	Turmeric	Curd	Honey	Rose Water","	Caprylic Acid	Urea	Triethanolamine	Benzoic Acid	Ethylhexylglycerin"
Dullness,Oily,"	Papaya	Banana	Milk	Honey	Oatmeal","	Peptides	BHA (Beta Hydroxy Acid)	Carbomer	Propylene Glycol	Hydroquinone"
Dullness,Oily,"	Tomato Pulp	Yogurt	Lemon Juice	Honey	Rice Flour","	Cyclopentasiloxane	Butylene Glycol	Dimethyl Sulfone	Carbomer	Citric Acid"
Tired-Looking Skin,Normal,"	Orange Peel Powder	Milk	Honey	Aloe Vera	Rose Water","	AHA (Alpha Hydroxy Acid)	Dimethicone	Kojic Acid	Squalane	Sodium PCA"
Tired-Looking Skin,Normal,"	Coffee Powder	Coconut Oil	Sugar	Lemon Juice	Honey","	BHT (Butylated Hydroxytoluene)	Citric Acid	Titanium Dioxide	Disodium EDTA	Allantoin"
Tired-Looking Skin,Normal,"	Besan (Gram Flour)	Sandalwood Powder	Turmeric	Milk Cream	Lemon Juice","	Glycolic Acid	Dimethicone	Triclosan	Propylene Glycol	Glycerin"
Tired-Looking Skin,Normal,"	Green Tea	Aloe Vera	Honey	Curd	Cucumber Juice","	Citric Acid	Benzoic Acid	Sodium Hydroxide	Peptides	Ethylhexylglycerin"
Tired-Looking Skin,Normal,"	Almond Paste	Milk	Saffron	Honey	Oats Powder","	Glycolic Acid	Ceramides	Gluconolactone	Triethanolamine	Cyclopentasiloxane"
Tired-Looking Skin,Normal,"	Avocado Pulp	Milk Cream	Honey	Lemon Juice	Rose Water","	Vitamin C	BHA (Beta Hydroxy Acid)	Phenoxyethanol	AHA (Alpha Hydroxy Acid)	Hyaluronic Acid"
Tired-Looking Skin,Normal,"	Banana	Milk Powder	Oatmeal	Honey	Turmeric","	Caprylic Acid	Peptides	Allantoin	Sodium Hydroxide	Retinol"
Tired-Looking Skin,Sensitive,"	Strawberry Pulp	Yogurt	Honey	Lemon Juice	Sugar","	Propylene Glycol	Panthenol	Cyclopentasiloxane	Oxybenzone	Squalane"
Tired-Looking Skin,Sensitive,"	Potato Juice	Rice Flour	Turmeric	Aloe Vera	Milk","	Caffeine	Sodium Hydroxide	Niacinamide	Cyclopentasiloxane	Tartaric Acid"
Tired-Looking Skin,Sensitive,"	Cucumber Pulp	Mint Paste	Honey	Yogurt	Rose Water","	Carbomer	Citric Acid	Dimethicone	Avobenzone	Glycerin"
Tired-Looking Skin,Sensitive,"	Carrot Paste	Yogurt	Honey	Turmeric	Aloe Vera Gel","	Dimethyl Sulfone	Ethylhexylglycerin	Carbomer	Glycolic Acid	Oxybenzone"
Tired-Looking Skin,Sensitive,"	Sandalwood Powder	Rose Water	Curd	Turmeric	Rice Flour","	Retinol	Sodium PCA	Avobenzone	Tartaric Acid	Resveratrol"
Tired-Looking Skin,Sensitive,"	Pumpkin Puree	Honey	Aloe Vera Gel	Yogurt	Oat Flour","	Titanium Dioxide	Triclosan	Niacinamide	Licorice Extract	Vitamin C"
Tired-Looking Skin,Sensitive,"	Multani Mitti	Rose Water	Honey	Turmeric	Yogurt","	Dimethyl Sulfone	Avobenzone	Glycerin	Vitamin C	BHA (Beta Hydroxy Acid)"
